Date,Episode,Title,Directed by,Written by,Duration,Summary,Rating/Share,U.S. viewers,"Prod.
code"
09/22/94,01-01,The Pilot,James Burrows,David Crane & Marta Kauffman,22,"Monica and the gang introduce Rachel to the ""real world"" after she leaves her fiance at the altar.",14.7/23,21.5 million,456650
09/29/94,01-02,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,22,Ross finds out his ex-wife is pregnant. Rachel returns her engagement ring to Barry. Monica becomes stressed when her and Ross's parents come to visit.,14.0/22,20.2 million,456652
10/06/94,01-03,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,Monica becomes irritated when everyone likes her new boyfriend more than she does. Chandler resumes his smoking habit. Phoebe is given $7000 when she finds a thumb in a can of soda.,13.6/22,19.5 million,456651
10/13/94,01-04,The One with George Stephanopoulos,James Burrows,Alexa Junge,22,"Joey and Chandler take Ross to a hockey game to take his mind off the anniversary of the first time he slept with Carol, while the girls become depressed when they realize they don't have a 'plan'.",13.7/22,19.7 million,456654
10/20/94,01-05,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,22,"Eager to spend time with Rachel, Ross pretends his washroom is rat-infested so he can join her at the laundromat. Meanwhile, Joey has Monica pose as his girlfriend, and Chandler struggles to break up with his girlfriend.",12.9/20,18.6 million,456653
10/27/94,01-06,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,22,Monica's obsessiveness is put to the test after Rachel cleans the apartment. Joey lands a film role as Al Pacino's butt double. Chandler enjoys a relationship with all of the fun but none of the responsibility.,12.4/20,18.2 million,456655
11/03/94,01-07,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,"When New York suffers from a blackout, Ross tries to tell Rachel that he likes her, and Chandler gets stuck in an ATM vestibule with a model.",16.1/24,23.5 million,456656
11/10/94,01-08,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,22,Monica and Ross mourn the loss of their grandmother. Chandler is shocked to find that people think he is gay.,14.2/22,21.1 million,456657
11/17/94,01-09,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,22,The gang's plans for Thanksgiving go awry after they get locked out of Monica and Rachel's apartment.,15.7/24,23.1 million,456659
12/15/94,01-10,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,22,The gang make (and break) a pact not to bring dates to their New Years Eve party. Phoebe starts dating a scientist. Ross compensates for his loneliness by getting a monkey.,13.6/22,19.9 million,456661
01/05/95,01-11,The One with Mrs. Bing,James Burrows,Alexa Junge,22,"Chandler's flamboyant romance-novelist mother comes to visit, and Joey catches her kissing Ross. Meanwhile, Monica and Phoebe fight over a guy in a coma.",17.6/27,26.6 million,456660
01/12/95,01-12,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,22,Rachel and Paolo's relationship hits a snag when he makes a pss at Phoebe. Ross refuses to find out the sex of his baby until it's born. Chandler and Joey go shopping for a new kitchen table.,16.1/25,24.0 million,456658
01/19/95,01-13,The One with the Boobies,Alan Myerson,Alexa Junge,22,Joey finds out his dad has a mistress. Rachel tries to even the score after Chandler inadvertently catches a glimpse of her breasts. Phoebe dates a shrink who analyzes the gang.,17.3/26,25.8 million,456664
02/09/95,01-14,The One with the Candy Hearts,James Burrows,Bill Lawrence,22,"As Valentine's Day approaches; Ross and his date end up at the same restaurant as Carol and Susan, Joey inadvertently sets Chandler up on a blind date with Janice, and the girls burn mementos of their old boyfriends.",15.9/24,23.8 million,456667
02/16/95,01-15,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,22,"Monica cooks a gourmet meal for a restaurateur who is looking for a new chef, however he arrives at the apartment stoned. Meanwhile, Ross tries to master 'dirty talk'.",16.9/25,24.8 million,456663
02/23/95,01-16,"The One with Two Parts, Part I",Michael Lembeck,Marta Kauffman & David Crane,22,Phoebe feels neglected when Joey falls for her twin sister. Chandler struggles to fire an attractive co-worker. Ross attends Lamaze classes with Carol and Susan.,17.5/27,26.1 million,456665A
02/23/95,01-17,"The One with Two Parts, Part II",Michael Lembeck,Marta Kauffman & David Crane,22,"Rachel switches identities with Monica so she can use her health insurance. Meanwhile, Ursula continues to come between Phoebe and Joey.",20.8/31,30.5 million,456665B
03/02/95,01-18,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,22,"As Rachel interviews for a new job, the girls take on the guys in a game of poker.",20.4/31,30.4 million,456662
03/09/95,01-19,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,22,The gang frantically search for Ross's monkey Marcel after Rachel loses him.,20.0/31,29.4 million,456668
04/06/95,01-20,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,22,"Rachel and Barry start dating again, despite the fact that he's now engaged to Mindy; Chandler goes nuts when a woman he likes won't return his phone calls.",20.5/32,30.0 million,456669
04/27/95,01-21,The One with Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,22,Monica befriends the woman who stole her credit card. Ross is forced to give away Marcel. Joey tries to come up with a less ethnic-sounding stage name.,19.2/29,28.4 million,456671
05/04/95,01-22,The One with the Ick Factor,Robby Benson,Alexa Junge,22,Monica gets a shock when she finds out her boyfriend is a high school student. Chandler finds out his colleagues don't like him when Phoebe temps as his secretary.,20.7/31,29.9 million,456670
05/11/95,01-23,The One with the Birth,James Burrows,"Story by : David Crane & Marta Kauffman
Teleplay by : Jeff Greenstein & Jeff Strauss",22,"As Carol goes into labor; Ross and Susan argue, Rachel flirts with Carol's doctor, and Joey assists a pregnant single mother.",19.7/30,28.7 million,456672
05/18/95,01-24,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,22,"As Ross leaves for China, Chandler accidentally reveals Ross's feelings for Rachel. Joey takes part in a fertility study and is unable to sleep with his new girlfriend.",21.3/32,31.3 million,456673
09/21/95,02-01,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,22,"Rachel waits for Ross at the airport, unaware he has a new girlfriend. Meanwhile, Chandler has a frightening experience with Joey's tailor, and Phoebe gives Monica a bad haircut.",20.5/33,32.1 million,457301
09/28/95,02-02,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,22,"Monica goes shopping with Julie and tries to keep it a secret from Rachel. Ross is grossed out by Carol's breast milk. At his day job, Joey competes with a fellow cologne spritzer.",19.3/31,29.8 million,457302
10/05/95,02-03,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,22,"After Mr. Heckles dies and leaves all his belongings to Monica and Rachel, Chandler worries he will die alone just like him. Meanwhile, Phoebe and Ross argue over evolution.",19.8/31,30.2 million,457303
10/12/95,02-04,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,22,"When the gang find out Phoebe married a gay Canadian ice dancer for a green card, more of their secrets are revealed. Meanwhile, Rachel gives Ross bad advice on his relationship with Julie.",19.3/31,28.1 million,457305
10/19/95,02-05,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,22,"The gang are divided by income issues; Monica, Ross and Chandler have money, and Rachel, Phoebe and Joey don't.",18.6/30,28.3 million,457304
11/02/95,02-06,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,22,"Joey and Chandler are left to babysit Ben when Monica takes Ross to the hospital. Meanwhile, Phoebe loses her singing gig at Central Perk to a professional singer.",19.7/30,30.2 million,457306
11/09/95,02-07,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,22,"A drunken Rachel calls Ross and reveals her feelings for him on his answering machine. Meanwhile, Monica keeps busy by being Chandler's personal trainer and Phoebe constantly wonders why her current boyfriend won't sleep with her.",19.6/31,30.5 million,457307
11/16/95,02-08,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,22,"With help from Chandler and Joey, Ross makes a list of pros and cons to decide whether to be with Julie or Rachel. Meanwhile, Monica gets a job making dessert with a disgusting synthetic chocolate substitute.",21.1/33,32.9 million,457308
12/14/95,02-09,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,22,"Phoebe tracks down her father, but isn't sure whether she should meet him. Ross asks Rachel to make a list of pros and cons about him.",18.8/30,27.8 million,457309
01/04/96,02-10,The One with Russ,Thomas Schlamme,Ira Ungerleider,22,Monica gets back together with 'Fun Bobby' and realizes why he is always so upbeat. Rachel starts dating a guy called Russ who bears an uncanny resemblance to Ross.,21.0/31,32.2 million,457311
01/18/96,02-11,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,22,Rachel's mom comes to visit with big news. Monica caters Carol and Susan's wedding. Phoebe becomes 'possessed' by the spirit of a recently deceased client.,20.8/31,31.6 million,457312
